"地域コード","都道府県","市区町村","総人口","総人口（男）","総人口（女）","日本人人口","日本人人口（男）","日本人人口（女）","15歳未満人口","15歳未満人口（男）","15歳未満人口（女）","15～64歳人口","15～64歳人口（男）","15～64歳人口（女）","65歳以上人口","65歳以上人口（男）","65歳以上人口（女）","75歳以上人口","75歳以上人口（男）","75歳以上人口（女）","外国人人口","出生数","死亡数","転入者数（日本人移動者）","転出者数（日本人移動者）","世帯数","一般世帯数","一般世帯人員数","核家族世帯数","単独世帯数","65歳以上の世帯員のいる核家族世帯数","高齢夫婦のみの世帯数","高齢単身世帯数（65歳以上の者１人）","婚姻件数","離婚件数","総面積（北方地域及び竹島を除く）","可住地面積","事業所数","事業所数（農業，林業）","事業所数（建設業）","事業所数（製造業）","事業所数（電気・ガス・熱供給・水道業）","事業所数（情報通信業）","事業所数（運輸業，郵便業）","事業所数（卸売業，小売業）","事業所数（金融業，保険業）","事業所数（不動産業，物品賃貸業）","事業所数（学術研究，専門・技術サービス業）","事業所数（宿泊業，飲食サービス業）","事業所数（生活関連サービス業，娯楽業）","事業所数（教育，学習支援業）","事業所数（医療，福祉）","事業所数（複合サービス事業）","事業所数（サービス業（他に分類されないもの））","事業所数（公務（他に分類されるものを除く））","第１次産業事業所数","第２次産業事業所数","第３次産業事業所数","従業者数","従業者数（農業，林業）","従業者数（建設業）","従業者数（製造業）","従業者数（電気・ガス・熱供給・水道業）","従業者数（情報通信業）","従業者数（運輸業，郵便業）","従業者数（卸売業，小売業）","従業者数（金融業，保険業）","従業者数（不動産業，物品賃貸業）","従業者数（学術研究，専門・技術サービス業）","従業者数（宿泊業，飲食サービス業）","従業者数（生活関連サービス業，娯楽業）","従業者数（教育，学習支援業）","従業者数（医療，福祉）","従業者数（複合サービス事業）","従業者数（サービス業（他に分類されないもの））","従業者数（公務（他に分類されるものを除く））","第１次産業従業者数","第２次産業従業者数","第３次産業従業者数","農家数（販売農家）","農家数（自給的農家）","経常収支比率（市町村財政）","実質公債費比率（市町村財政）","歳入決算総額（市町村財政）","地方税（市町村財政）","歳出決算総額（市町村財政）","民生費（市町村財政）","土木費（市町村財政）","教育費（市町村財政）","災害復旧費（市町村財政）","幼稚園数","幼稚園在園者数","小学校数","小学校教員数","小学校児童数","中学校数","中学校教員数","中学校生徒数","高等学校数","高等学校生徒数","就業者数","就業者数（男）","就業者数（女）","完全失業者数","完全失業者数（男）","完全失業者数（女）","非労働力人口","非労働力人口（男）","非労働力人口（女）","第１次産業就業者数","第２次産業就業者数","第３次産業就業者数","公民館数","図書館数","総人口（非水洗化人口＋水洗化人口）","非水洗化人口","小売店数","飲食店数","大型小売店数","一般病院数","一般診療所数","歯科診療所数","医師数","歯科医師数","薬剤師数","保育所等数","保育所等在所児数"
"R31390","鳥取県","伯耆町","11118","5226","5892","11057","5211","5846","1276","641","635","5801","2915","2886","4037","1668","unknown","2241","799","1442","61","73","167","266","","3604","unknown","10653","","669","1040","502","399","44","15","13944","4394","欠損値","unknown","37","28","0","1","unknown","82","3","7","10","61","unknown","","33","8","25","9","18","66","309","3526","160","257","419","0","15","67","585","17","46","27","363","欠損値","180","796","48","96","137","160","686","2680","903","325","90.5","8","7448776","1398801","7233230","2244221","382326","715117","19830","0","0","4","67","557","2","36","274","0","0","5825","3161","unknown","199","112","","3773","欠損値","2484","952","1159","3615","4","2","11128","1052","","15","1","2","","3","","3","21","5","372"
"R31401","鳥取県","日南町","4765","2205","2560","4751","2199","2552","352","165","187","欠損値","1130","938","2345","910","1435","1580","553","1027","14","10","107","88","123","unknown","1928","4638","868","615","650","343","447","13","3","34096","3666","","欠損値","39","12","1","0","7","78","2","2","7","19","28","5","23","13","36","9","20","51","欠損値","1841","","302","136","3","","67","263","10","4","欠損値","74","54","47","欠損値","59","95","93","198","438","1205","676","189","89.7","8.6","7097650","欠損値","6663361","1140308","512604","402203","47708","0","0","1","15","131","1","16","78","0","0","2425","欠損値","欠損値","49","38","11","1939","615","1324","809","417","1194","","1","4798","689","65","11","0","1","1","1","5","1","7","1","100"
"R31402","鳥取県","日野町","3278","1490","1788","3265","1489","1776","257","113","144","1481","775","706","1540","unknown","unknown","937","316","621","13","12","80","69","109","1279","1273","3124","588","394","欠損値","219","256","7","0","13398","1473","219","4","20","17","2","1","6","59","3","5","4","20","16","欠損値","欠損値","5","24","11","4","38","177","1588","68","","129","2","1","32","259","14","25","欠損値","69","24","111","359","30","","unknown","68","261","欠損値","255","unknown","","11.6","3837539","350418","unknown","655024","233444","256498","882","0","0","欠損値","22","83","1","unknown","64","unknown","144","1610","887","723","44","29","15","1367","unknown","906","312","322","950","1","1","3209","549","47","13","0","1","2","2","8","2","7","1","59"
"R31403","鳥取県","欠損値","3004","1402","1602","2997","1402","1595","247","欠損値","118","1415","722","693","1342","551","","884","314","欠損値","unknown","11","unknown","52","96","1010","1007","2885","438","232","","176","163","7","5","12452","2343","133","3","24","11","unknown","1","7","25","2","3","欠損値","10","9","3","6","3","15","6","3","35","95","1082","unknown","欠損値","159","5","1","129","94","欠損値","unknown","20","80","12","40","欠損値","unknown","32","139","27","unknown","746","416","142","88.7","10.7","3708887","741640","3544791","650509","302980","246250","212803","0","0","1","12","78","1","15","62","0","0","1664","890","774","32","18","14","1059","364","695","473","323","欠損値","1","欠損値","2948","250","24","4","0","unknown","3","0","4","1","2","1","81"
"R32201","島根県","松江市","206230","99565","106665","204206","欠損値","105633","26384","13502","12882","117497","59264","58233","56386","23497","32889","29032","10699","18333","907","1589","","5927","6073","83031","82781","198919","42946","28524","欠損値","9136","8201","894","280","57299","16990","10789","34","959","536","15","138","183","2713","261","745","482","1321","925","463","910","91","894","97","","欠損値","9238","105510","364","","7512","unknown","2424","4349","欠損値","3871","2412","2971","10850","3942","5430","unknown","682","8931","6006","591","欠損値","89457","2231","2314","90.4","unknown","98775496","","97289661","36025986","9663807","9435527","欠損値","33","1432","35","778","欠損値","19","478","欠損値","12","6103","99987","54009","45978","3021","1971","1050","66331","24414","41917","3784","欠損値","74949","39","4","203899","7036","","997","31","8","220","81","568","142","408","68","6585"
"R32202","島根県","浜田市","58105","28600","29505","57508","28417","29091","6565","3376","3189","unknown","","14658","19430","7946","unknown","10608","3715","6893","569","390","893","1571","1909","24498","24399","54610","12704","unknown","6120","欠損値","3748","unknown","88","unknown","12967","3495","35","327","219","10","欠損値","92","918","71","177","106","380","","149","268","56","267","73","45","547","2903","欠損値","376","2336","","","unknown","1518","5307","551","427","771","2270","1354","1553","欠損値","607","欠損値","1560","624","6036","22668","","1129","90.9","10.1","38622238","","38135523","","3013068","2777066","637911","6","145","16","243","2553","9","161","1322","3","1042","28257","15606","12651","960","649","unknown","21355","8361","12994","2013","5830","20046","35","6","55337","欠損値","650","263","5","5","63","26","130","36","114","28","1964"
"R32203","島根県","出雲市","171938","82707","89231","168998","欠損値","87886","23617","欠損値","11597","欠損値","48850","48532","49563","21026","28537","26428","欠損値","","2391","1443","2046","4006","3785","60130","59945","167490","30378","欠損値","12980","6290","5037","742","219","欠損値","22800","8612","53","欠損値","624","16","45","136","2331","121","411","323","913","766","352","671","119","664","63","unknown","","欠損値","81672","531","6989","","407","欠損値","","14370","","1133","2301","6412","2802","欠損値","欠損値","1222","","2219","597","21047","60028","3565","3248","91.7","16.6","81465297","21652761","80071096","26589861","7386203","8288987","","27","欠損値","37","722","9712","16","410","欠損値","8","4739","87146","47484","39662","2506","unknown","","","19001","unknown","5421","22962","55898","0","7","175165","26842","1802","749","unknown","","","63","804","100","408","53","5910"
"R32204","島根県","益田市","47718","unknown","","47420","22369","欠損値","5912","3035","2877","24962","12461","12501","欠損値","6874","9800","unknown","","","262","315","736","1082","1339","19037","18982","46029","unknown","5485","5178","3058","","172","77","73319","9942","2812","47","250","155","欠損値","18","48","717","欠損値","unknown","111","338","274","127","249","51","206","39","51","410","2351","22426","500","2095","2481","155","112","816","4408","421","225","717","1707","901","1297","4135","500","","628","528","unknown","17286","1080","1093","96.8","14.8","24874039","5431884","24332198","","1620984","1888299","200715","5","111","15","234","2409","11","unknown","1221","","","23051","12400","10651","833","555","278","17367","6163","11204","1875","4806","15852","21","2","47590","18073","532","256","7","2","59","25","","31","102","24","1455"
"R32205","島根県","大田市","35166","","欠損値","34912","16519","18393","3980","2084","1896","17653","8971","8682","13345","5457","7888","7521","2617","4904","237","188","603","709","915","13613","13572","34070","7383","3706","4048","unknown","2258","119","46","43571","9923","2055","22","","138","unknown","7","42","欠損値","29","","69","201","177","85","","44","unknown","59","34","340","1681","unknown","321","1298","2290","","38","438","2971","247","欠損値","307","1035","649","欠損値","2661","460","欠損値","727","407","3615","","1098","986","98.3","13.6","","3660341","24288029","unknown","1671978","1699585","504557","5","51","","192","1602","6","104","840","unknown","726","16841","9234","7607","563","367","196","13304","4675","8629","1678","4276","欠損値","7","3","35636","16729","427","141","3","","欠損値","16","68","unknown","59","17","1098"
"R32206","島根県","安来市","39528","18859","20669","39370","18818","20552","4798","2476","2322","20593","10462","10131","13816","5737","8079","7525","2710","欠損値","134","","595","735","906","12805","12772","38266","unknown","2597","3504","1703","1305","127","43","42093","9408","","unknown","212","173","3","unknown","41","488","26","57","58","154","153","96","136","24","173","22","18","386","1435","17599","109","1255","5542","59","16","","unknown","207","192","293","欠損値","476","891","2811","344","556","583","109","6802","","欠損値","761","93.5","","27845499","5304264","27481499","6934222","2497418","欠損値","105647","4","73","17","227","1921","5","欠損値","1052","2","733","19991","10795","9196","575","411","164","13660","4898","8762","unknown","5781","11655","27","1","unknown","6840","374","108","2","4","29","9","76","欠損値","47","19","1239"
"R32207","島根県","江津市","24468","11397","13071","","欠損値","12876","2760","1407","1353","12745","6429","6316","unknown","3544","5398","欠損値","1645","3383","","137","406","620","633","欠損値","欠損値","","欠損値","3157","2914","1648","1836","71","30","欠損値","5704","1363","12","128","112","4","7","34","348","22","50","42","127","126","65","欠損値","24","130","21","14","244","1105","unknown","103","","1808","unknown","19","465","1808","unknown","unknown","116","627","298","572","2075","117","452","","unknown","2841","7296","287","543","95.5","欠損値","15650517","欠損値","15031823","","1178019","937573","138995","0","欠損値","欠損値","111","1014","4","64","unknown","4","1038","11361","6098","5263","欠損値","279","131","9798","3528","","583","2855","7824","9","2","24034","unknown","291","unknown","1","3","30","8","45","15","48","12","786"
"R32209","島根県","雲南市","39032","18647","欠損値","38845","18612","","4597","2385","2212","20147","欠損値","9924","14228","6004","8224","8313","3082","5231","170","198","652","652","959","12527","","38002","6025","欠損値","unknown","1618","1266","110","33","55318","11589","unknown","33","328","183","4","8","","484","25","43","74","141","179","54","151","","210","34","unknown","512","欠損値","15623","387","1722","3567","40","32","385","2394","unknown","112","346","713","503","510","2652","unknown","780","646","欠損値","unknown","欠損値","2374","1520","89.3","11","欠損値","4141847","欠損値","7441547","2975416","3234175","83355","","163","15","201","1817","7","121","966","3","804","20121","11153","8968","465","324","141","13616","4653","8963","2315","欠損値","欠損値","0","3","39420","7338","409","92","0","2","32","15","54","21","unknown","12","1109"
"欠損値","島根県","奥出雲町","13063","6216","6847","12986","欠損値","6775","1354","欠損値","欠損値","6393","3326","3067","5314","2197","3117","3215","1159","unknown","77","59","","229","315","","4452","12680","1921","1096","","625","563","欠損値","10","36801","欠損値","747","23","109","unknown","5","unknown","14","222","7","15","8","75","52","","41","10","30","12","23","191","533","5624","318","644","1165","19","29","unknown","929","46","24","44","463","105","345","884","42","140","209","318","1865","3441","","395","86.2","14.3","14854512","1227639","14551943","2504560","2064279","632436","49008","0","0","unknown","96","524","2","unknown","284","1","261","6910","3868","3042","174","120","54","4620","1534","3086","1516","1975","3409","9","0","12787","2040","183","49","0","1","11","4","17","6","","6","unknown"
"欠損値","島根県","飯南町","5031","欠損値","2672","","2354","2650","518","261","257","unknown","unknown","欠損値","2187","885","1302","1405","508","897","27","17","126","133","146","1842","1828","4732","869","507","570","324","298","15","9","24288","3212","343","19","40","","1","1","10","78","3","1","欠損値","欠損値","","15","34","6","39","欠損値","19","68","256","2448","194","","275","3","6","69","363","13","1","112","","","unknown","544","23","98","110","194","510","1744","513","134","93.7","9.2","7662189","499695","7529247","unknown","欠損値","","54048","0","0","4","46","unknown","","23","90","1","191","2658","1468","1190","34","26","8","1821","604","1217","621","521","1507","","1","5031","304","63","16","0","1","9","1","9","3","5","4","unknown"
"R32441","島根県","unknown","3442","1604","1838","3427","1600","1827","331","175","","1618","845","773","1493","584","909","873","280","593","14","20","68","149","161","欠損値","1448","3213","741","508","欠損値","欠損値","308","欠損値","2","10643","","273","5","unknown","17","1","unknown","4","76","","欠損値","13","21","23","6","23","5","25","10","5","50","218","1844","74","230","80","2","2","55","366","23","8","115","64","54","欠損値","385","22","115","163","74","310","1460","166","118","90.9","6.9","4149995","323038","3959873","910326","463390","288461","7725","0","0","1","15","121","1","10","58","1","241","1656","905","751","36","unknown","10","1417","498","919","unknown","281","1138","3","1","3398","1084","62","18","0","1","unknown","2","10","6","9","3","112"
"R32448","島根県","美郷町","","unknown","2591","4886","2306","2580","548","284","264","2140","1114","1026","2212","911","1301","1319","462","857","14","18","89","106","127","2010","2002","4711","1016","644","641","373","466","16","10","28292","3247","306","8","39","","2","欠損値","7","63","2","4","4","20","27","5","30","15","43","15","8","","","1674","89","267","153","34","0","30","欠損値","16","10","5","83","60","60","335","55","76","169","89","423","欠損値","332","","unknown","12.4","","unknown","6361603","1353145","724607","433671","148862","0","unknown","2","29","243","2","25","111","0","0","欠損値","1311","unknown","","52","14","1984","658","","370","512","1407","7","unknown","","欠損値","55","8","0","0","8","2","3","1","3","2","116"
"欠損値","島根県","邑南町","11101","5260","5841","11037","5226","5811","1182","591","unknown","5119","2650","unknown","4779","2005","欠損値","2924","1080","1844","欠損値","59","231","231","263","4224","4186","10173","2139","1244","1269","781","746","33","14","41929","5689","701","27","83","56","2","1","17","170","7","7","20","51","欠損値","37","欠損値","unknown","66","15","27","140","534","4860","299","498","508","13","3","173","675","37","20","欠損値","221","138","343","1347","117","120","254","299","1007","unknown","1175","536","unknown","14","12002427","1021238","11731658","2584017","840118","1077003","89051","0","","8","76","484","3","39","unknown","unknown","欠損値","5715","3148","2567","112","83","29","4064","1418","2646","1242","988","3480","","1","11039","1475","139","欠損値","0","欠損値","18","4","20","6","","9","368"
"R32501","島根県","津和野町","7653","3530","4123","7602","3526","4076","661","348","313","3515","1798","1717","3462","1373","2089","2093","unknown","1338","51","26","160","198","249","3300","3293","7479","1645","1100","1027","608","681","欠損値","unknown","30703","unknown","496","14","41","43","1","1","","131","12","unknown","","64","42","37","33","10","27","10","14","85","397","2843","142","317","314","8","4","76","561","47","9","83","256","90","","473","63","98","110","142","634","2067","399","","89.5","10.8","9130589","欠損値","8929572","1611286","565946","unknown","86682","0","0","4","欠損値","266","2","欠損値","124","1","192","3873","2060","1813","123","83","40","2907","991","1916","714","686","2451","unknown","2","7638","2176","121","36","0","","8","3","10","4","11","2","106"
"R32505","unknown","吉賀町","6374","2986","3388","6250","2929","3321","603","306","297","3003","1565","1438","2768","1115","1653","1674","585","1089","124","36","108","193","199","2810","2801","5995","1414","1039","799","","546","18","欠損値","33650","2806","407","11","49","","2","0","7","unknown","5","9","","38","34","22","22","8","unknown","unknown","11","88","308","2933","80","250","562","12","0","95","","18","24","10","186","欠損値","193","509","53","372","109","80","","2041","554","281","90.5","5.3","6780025","欠損値","6632939","1527065","欠損値","607491","1016","0","0","5","53","221","4","unknown","133","1","100","3297","1818","1479","72","49","23","","","1582","","862","unknown","0","0","6286","1757","91","20","0","1","6","2","13","3","9","3","欠損値"
"R32525","島根県","海士町","2353","1125","unknown","2345","1121","1224","","123","123","1189","617","572","918","385","533","525","189","336","7","12","24","140","132","1057","1045","2200","552","397","299","unknown","194","unknown","2","","814","199","","19","15","1","0","11","37","2","1","1","欠損値","17","9","7","7","18","8","10","34","155","1022","36","110","74","欠損値","0","67","145","9","3","1","117","29","97","134","44","49","82","欠損値","184","778","60","77","91.7","8.5","4934051","206808","4814966","590987","欠損値","欠損値","欠損値","0","0","2","20","99","1","10","37","unknown","179","1135","欠損値","欠損値","23","17","6","949","","","184","176","773","1","1","2299","267","27","19","0","0","2","2","2","2","2","1","91"
"R32526","unknown","西ノ島町","欠損値","1537","1490","3015","1530","1485","255","137","118","1510","851","659","1262","549","713","699","254","445","","18","65","113","109","1499","1496","2920","778","629","445","276","273","11","6","5596","541","unknown","unknown","26","12","1","0","9","62","3","2","3","41","","7","19","","","11","5","38","unknown","1333","3","167","37","12","0","64","221","10","3","","155","42","14","277","46","52","101","125","204","1004","26","22","85.2","11.1","7066863","306833","","777007","481446","797333","5295","","0","1","unknown","101","1","11","37","0","0","1448","878","570","62","43","19","1261","479","782","249","","988","0","0","2892","372","47","18","0","1","4","1","5","1","3","欠損値",""
"R32527","島根県","知夫村","615","308","307","613","unknown","306","52","欠損値","28","258","140","118","unknown","144","161","164","65","99","2","6","9","欠損値","34","331","330","603","167","151","110","81","86","4","3","1370","319","64","0","","0","1","0","unknown","19","0","0","0","6","4","2","6","3","5","4","","7","57","欠損値","0","22","0","15","欠損値","欠損値","40","0","0","0","25","4","17","66","unknown","","40","0","22","241","unknown","欠損値","84.9","12.5","1907570","49134","1848336","190902","","197681","0","0","0","1","8","20","1","10","23","unknown","0","254","160","unknown","13","9","4","295","115","180","52","19","欠損値","1","unknown","615","13","16","1","0","0","","1","1","","0","1","19"
"R32528","島根県","欠損値","14608","7019","欠損値","14549","欠損値","7544","1693","890","803","7247","3788","3459","5564","2290","3274","3098","unknown","2034","56","108","unknown","unknown","499","6250","6202","欠損値","unknown","欠損値","1880","1101","欠損値","37","16","24262","3226","","10","144","58","欠損値","8","","258","7","","35","130","99","unknown","78","26","unknown","33","21","205","847","6455","104","862","256","42","26","218","","73","unknown","143","533","欠損値","305","1321","138","212","480","368","1146","4941","","537","88.6","11.3","17088507","1462459","16936553","欠損値","1578838","1244706","34779","1","0","7","89","","4","54","346","2","377","6997","3921","3076","159","115","44","5542","1989","unknown","unknown","1115","4840","4","欠損値","14513","5829","","86","","1","13","6","24","8","18","10","573"
